Food,Categlory,ID,Carbs,Calories,Protien,Fat,Measure
CHEESE SUB,"CHEESE SUB,MOZZARELLA",1161,23.67,248,11.47,12.22,"1 cup, shredded"
No Category,CHEESE FONDUE,1163,3.77,229,14.23,13.47,1 cup
CHEESE SAU,"CHEESE SAU,PREP FROM RECIPE",1164,5.48,197,10.33,14.92,1 cup
CHEESE,"CHEESE,MEXICAN,QUESO ANEJO",1165,4.63,373,21.44,29.98,"1 cup, crumbled"
CHEESE,"CHEESE,MEXICAN,QUESO ASADERO",1166,2.87,356,22.6,28.26,"1 cup, diced"
CHEESE,"CHEESE,MEXICAN,QUESO CHIHUAHUA",1167,5.56,374,21.56,29.68,"1 cup, diced"
CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",1168,1.91,173,24.35,7,"1 cup, diced"
CHEESE,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",1169,1.91,398,24.35,32.62,"1 cup, diced"
EGG,"EGG,WHOLE,RAW,FROZEN",1171,1.05,148,11.95,10.2,
EGG,"EGG,WHITE,RAW,FROZEN",1172,1.05,47,9.8,0,
EGG,"EGG,WHITE,DRIED",1173,7.8,382,81.1,0,
SOUR CREAM,"SOUR CREAM,REDUCED FAT",1178,7,181,7,14.1,
SOUR CREAM,"SOUR CREAM,LIGHT",1179,7.1,136,3.5,10.6,
SOUR CREAM,"SOUR CREAM,FAT FREE",1180,15.6,74,3.1,0,
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",1182,2,282,27.2,18.3,
YOGURT,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",1184,7.5,47,3.86,0.18,
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",1185,40,370,40,5,
CHEESE,"CHEESE,CREAM,FAT FREE",1186,7.66,105,15.69,1,
YOGURT,"YOGURT,CHOC,NONFAT MILK",1187,23.53,108,3.53,0,
No Category,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,1188,9.2,276,12,21,2 tbsp
No Category,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,1189,16.2,215,16.3,9.5,2 tbsp
No Category,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,1190,11.7,148,22.7,1,1 slice
No Category,KRAFT VELVEETA PAST PROCESS CHS SPRD,1191,9.8,303,16.3,22,1 oz
No Category,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,1192,11.8,222,19.6,10.6,1 oz
No Category,KRAFT BREAKSTONE'S RED FAT SOUR CRM,1193,6.5,152,4.5,12,2 tbsp
No Category,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,1194,15.1,91,4.7,1.3,2 tbsp
No Category,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),1195,18.2,96,3.8,0.8,"1 container,  (8 oz)"
No Category,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),1196,21.9,108,3.2,0.8,"1 container,  (4.4 oz)"
No Category,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),1197,19.9,102,3.8,0.9,"1 container,  (8 oz)"
No Category,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),1198,9.9,55,3.4,0.2,"1 container,  (8 oz)"
CREAM,"CREAM,HALF & HALF,FAT FREE",1199,9,59,2.6,1.4,
No Category,REDDI WIP FAT FREE WHIPPED TOPPING,1200,25,149,3,5,
MILK,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",1202,12.13,78,2.99,1.9,1 cup
YOGURT,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",1203,18.6,105,4.86,1.41,"1 8 oz container,  (8 oz)"
CHEESE,"CHEESE,PARMESAN,DRY GRATED,RED FAT",1204,1.37,265,20,20,1 cup
CREAM SUB,"CREAM SUB,FLAV,LIQ",1205,35.07,251,0.69,13.5,
CREAM SUB,"CREAM SUB,FLAV,POWDERED",1206,75.42,495,0,21.47,
CHEESE,"CHEESE,PROVOLONE,RED FAT",1208,3.5,274,24.7,17.6,"1 cup, diced"
CHEESE,"CHEESE,MEXICAN,BLEND,RED FAT",1209,3.41,282,24.69,19.4,
EGG MIX,"EGG MIX,USDA CMDTY",1210,23.97,549,35.6,34.5,
ALLSPICE,"ALLSPICE,GROUND",2001,72.12,263,6.09,8.69,1 tbsp
No Category,ANISE SEED,2002,50.02,337,17.6,15.9,"1 tbsp, whole"
SPICES,"SPICES,BASIL,DRIED",2003,60.96,251,14.37,3.98,"1 tsp, leaves"
SPICES,"SPICES,BAY LEAF",2004,74.97,313,7.61,8.36,"1 tbsp, crumbled"
No Category,CARAWAY SEED,2005,49.9,333,19.77,14.59,1 tbsp
SPICES,"SPICES,CARDAMOM",2006,68.47,311,10.76,6.7,"1 tbsp, ground"
No Category,CELERY SEED,2007,41.35,392,18.07,25.27,1 tbsp
CHERVIL,"CHERVIL,DRIED",2008,49.1,237,23.2,3.9,1 tbsp
No Category,CHILI POWDER,2009,54.66,314,12.26,16.76,1 tbsp
CINNAMON,"CINNAMON,GROUND",2010,80.59,247,3.99,1.24,1 tbsp
CLOVES,"CLOVES,GROUND",2011,61.21,323,5.98,20.07,1 tbsp
CORIANDER LEAF,"CORIANDER LEAF,DRIED",2012,52.1,279,21.93,4.78,1 tbsp
No Category,CORIANDER SEED,2013,54.99,298,12.37,17.77,1 tbsp
No Category,CUMIN SEED,2014,44.24,375,17.81,22.27,"1 tbsp, whole"
No Category,CURRY POWDER,2015,58.15,325,12.66,13.81,1 tbsp
No Category,DILL SEED,2016,55.17,305,15.98,14.54,1 tbsp
DILL WEED,"DILL WEED,DRIED",2017,55.82,253,19.96,4.36,1 tbsp
No Category,FENNEL SEED,2018,52.29,345,15.8,14.87,"1 tbsp, whole"
No Category,FENUGREEK SEED,2019,58.35,323,23,6.41,1 tbsp
No Category,GARLIC POWDER,2020,72.71,332,16.8,0.76,1 tbsp
GINGER,"GINGER,GROUND",2021,70.79,347,9.12,5.95,1 tbsp
MACE,"MACE,GROUND",2022,50.5,475,6.71,32.38,1 tbsp
MARJORAM,"MARJORAM,DRIED",2023,60.56,271,12.66,7.04,1 tbsp
MUSTARD SEED,"MUSTARD SEED,YELLOW",2024,34.94,469,24.94,28.76,1 tbsp
NUTMEG,"NUTMEG,GROUND",2025,49.29,525,5.84,36.31,1 tbsp
No Category,ONION POWDER,2026,80.67,347,10.12,1.05,1 tbsp
SPICES,"SPICES,OREGANO,DRIED",2027,64.43,306,11,10.25,"1 tsp, leaves"
No Category,PAPRIKA,2028,55.74,289,14.76,12.95,1 tbsp
PARSLEY,"PARSLEY,DRIED",2029,51.66,276,22.42,4.43,1 tsp
PEPPER,"PEPPER,BLACK",2030,64.81,255,10.95,3.26,1 tbsp
PEPPER,"PEPPER,RED OR CAYENNE",2031,56.63,318,12.01,17.27,1 tbsp
PEPPER,"PEPPER,WHITE",2032,68.61,296,10.4,2.12,"1 tbsp, ground"
No Category,POPPY SEED,2033,28.13,525,17.99,41.56,1 tbsp
No Category,POULTRY SEASONING,2034,65.59,307,9.59,7.53,1 tbsp
No Category,PUMPKIN PIE SPICE,2035,69.28,342,5.76,12.6,1 tbsp
ROSEMARY,"ROSEMARY,DRIED",2036,64.06,331,4.88,15.22,1 tbsp
No Category,SAFFRON,2037,65.37,310,11.43,5.85,1 tbsp
SAGE,"SAGE,GROUND",2038,60.73,315,10.63,12.75,1 tbsp
SAVORY,"SAVORY,GROUND",2039,68.73,272,6.73,5.91,1 tbsp
SPICES,"SPICES,TARRAGON,DRIED",2041,50.22,295,22.77,7.24,"1 tsp, leaves"
SPICES,"SPICES,THYME,DRIED",2042,63.94,276,9.11,7.43,"1 tsp, leaves"
TURMERIC,"TURMERIC,GROUND",2043,64.93,354,7.83,9.88,1 tbsp
BASIL,"BASIL,FRESH",2044,2.65,23,3.15,0.64,"2 tbsp, chopped"
DILL WEED,"DILL WEED,FRSH",2045,7.02,43,3.46,1.12,"1 cup, sprigs"
MUSTARD,"MUSTARD,PREPARED,YELLOW",2046,5.33,67,4.37,4.01,"1 tsp,  or 1 packet"
SALT,"SALT,TABLE",2047,0,0,0,0,1 cup
VINEGAR,"VINEGAR,CIDER",2048,0.93,21,0,0,1 cup
THYME,"THYME,FRSH",2049,24.45,101,5.56,1.68,1 tsp
No Category,VANILLA EXTRACT,2050,12.65,288,0.06,0.06,1 cup
